Index,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
229,1654733560,22.937,56.27,0,400,12636,19703,939.811,0.06,0.11,0.28,0.123,0.05,229,0
34132,1654770481,18.43,57.47,386,400,13047,19882,939.279,0.52,0.54,3.58,0.558,0.013,9138,1
46383,1654782732,27.06,47.47,1295,400,12963,19415,938.709,1.73,1.8,11.9,1.856,0.042,21389,1
49818,1654786167,24.57,53.36,1321,410,12987,19402,938.833,1.97,2.04,13.55,2.112,0.048,24824,1
55791,1654716836,51.88,13.69,1394,400,13262,20273,936.836,1.02,1.06,6.99,1.091,0.025,4649,0
44763,1654781112,27.12,47.47,1243,401,12925,19425,938.71,1.46,1.51,10.03,1.564,0.035,19769,1
14141,1654747472,17.029,51.93,1130,492,12855,19443,938.909,1.76,1.83,12.09,1.886,0.043,14141,1
7210,1654740541,-4.744,50.73,236,400,13136,20027,939.539,0.47,0.49,3.26,0.508,0.011,7210,1
28063,1654764412,20.68,48.84,128,400,13179,20044,939.66,0.94,0.97,6.44,1.005,0.023,3069,0
34033,1654770382,18.31,57.8,376,400,13051,19886,939.269,0.31,0.32,2.11,0.328,0.007,9039,1
25505,1654761854,11.52,57.01,10,400,12788,19790,939.824,0.3,0.33,1.99,0.344,0.028,511,0
55683,1654716728,55.36,20.34,35956,781,12617,18697,936.92,1.56,1.63,10.77,1.679,0.038,4541,0
50120,1654903137,24.86,65.85,532,1703,12888,19444,931.215,13259.27,39214.76,27342.22,44654.797,25014.695,132,1
10902,1654744233,5.223,48.12,1007,665,12791,19468,939.066,2.38,2.47,16.38,2.554,0.058,10902,1
2582,1654735913,16.615,52.84,63,400,13197,20106,939.633,0.85,0.88,5.83,0.909,0.021,2582,0
59654,1655127076,17.13,48.19,155,426,12773,20568,937.358,1.63,1.69,11.2,1.747,0.039,2768,0
2652,1654735983,15.805,53.33,85,400,13193,20099,939.655,1.06,1.1,7.26,1.132,0.026,2652,0
14736,1654748067,14.184,50.54,1117,454,12862,19440,938.826,1.75,1.82,12.06,1.88,0.042,14736,1
23396,1654756727,-21.331,54.12,1366,413,12965,19396,938.728,1.57,1.63,10.8,1.685,0.038,23396,1
18253,1654751584,19.249,48.34,1180,405,12909,19434,938.695,1.82,1.89,12.51,1.951,0.044,18253,1
47096,1654783445,26.9,47.9,1333,400,12965,19386,938.741,1.78,1.85,12.26,1.911,0.043,22102,1
56096,1654717141,49.89,20.59,60000,4848,11681,16892,936.816,907.98,943.36,6249.27,974.499,22.01,4954,0
52702,1654713747,26.46,45.61,90,406,12781,20638,937.418,1.78,1.85,12.24,1.909,0.043,1560,0
2732,1654736063,14.861,46.29,101,400,13188,20090,939.638,0.98,1.02,6.75,1.053,0.024,2732,0
30056,1654766405,22.25,48.57,48,400,13243,20168,939.668,1.99,2.07,13.72,2.14,0.048,5062,1
25054,1654761403,12.97,54.14,4,406,12536,19627,939.719,0.08,0.32,0.01,0.364,0.223,60,0
36480,1654772829,26.72,47.53,1073,626,12807,19459,939.097,2.36,2.45,16.24,2.533,0.057,11486,1
48968,1654785317,25.12,50.15,1387,410,12969,19369,938.747,1.67,1.73,11.48,1.791,0.04,23974,1
24706,1654758037,6.441,53.55,1367,418,12988,19390,938.797,1.75,1.82,12.05,1.88,0.042,24706,1
9947,1654743278,-3.196,50.55,696,720,12770,19561,939.132,2.25,2.34,15.5,2.417,0.055,9947,1
55139,1654716184,29.61,65.73,1998,400,13399,20116,937.05,0.84,0.88,5.81,0.907,0.02,3997,0
60012,1655127434,19.465,48.08,205,433,12771,20518,937.397,1.32,1.37,9.06,1.413,0.032,3126,0
56613,1654717658,53.08,13.01,2555,400,13577,20029,936.694,0.76,0.79,5.24,0.817,0.018,5471,0
40714,1654777063,24.45,53.63,1180,425,12874,19432,938.805,1.84,1.92,12.69,1.979,0.045,15720,1
62246,1655129668,-21.642,11.3,25417,400,12955,18905,936.716,6.33,6.58,43.52,6.804,0.163,5360,0
47983,1654784332,26.53,49.46,1306,402,12974,19405,938.733,1.84,1.91,12.65,1.973,0.045,22989,1
13919,1654747250,18.11,53.34,1138,500,12847,19446,938.927,2.28,2.37,15.67,2.444,0.055,13919,1
52279,1654713324,26.85,44.14,108,400,12775,20630,937.493,1.79,1.86,12.32,1.921,0.043,1137,0
18611,1654751942,20.316,48.69,1214,400,12914,19426,938.723,1.63,1.7,11.24,1.753,0.04,18611,1
16787,1654750118,13.585,53.09,1151,415,12882,19428,938.761,1.75,1.82,12.06,1.881,0.042,16787,1
36142,1654772491,25.07,48.29,1151,689,12782,19438,939.077,2.09,2.17,14.37,2.241,0.051,11148,1
7431,1654740762,-4.304,53.97,254,400,13133,20012,939.499,0.57,0.59,3.89,0.607,0.014,7431,1
21903,1654755234,-11.59,52.48,1300,400,12972,19411,938.748,1.72,1.79,11.84,1.847,0.042,21903,1
61844,1655129266,-6.529,22.53,60000,5942,11569,16786,936.823,1740.59,1808.41,11979.77,1868.103,42.193,4958,0
47718,1654784067,24.64,53.14,1360,404,12964,19387,938.76,2.46,2.56,16.93,2.64,0.06,22724,1
54643,1654715688,25.38,45.1,0,400,13188,20985,937.471,1.79,1.86,12.32,1.92,0.043,3501,0
52666,1654713711,27.7,46.68,99,400,12793,20627,937.432,1.75,1.82,12.05,1.879,0.042,1524,0
47236,1654783585,24.66,52.86,1387,408,12954,19381,938.69,2.0,2.07,13.74,2.142,0.048,22242,1
52062,1654713107,26.12,47.13,83,400,12779,20673,937.552,2.01,2.09,13.86,2.162,0.049,920,0
51912,1654712957,29.35,40.33,85,438,12781,20670,937.524,2.14,2.22,14.72,2.296,0.052,770,0
38861,1654775210,26.58,49.22,1103,491,12857,19455,938.911,2.11,2.2,14.54,2.268,0.051,13867,1
14174,1654747505,16.865,47.79,1115,484,12853,19453,938.89,1.61,1.67,11.06,1.725,0.039,14174,1
33292,1654769641,18.65,54.96,318,400,13099,19940,939.41,0.29,0.3,1.99,0.31,0.007,8298,1
58761,1655126183,-4.342,47.7,107,410,12779,20606,937.389,2.0,2.08,13.78,2.149,0.049,1875,0
22626,1654755957,-19.982,50.46,1266,400,12979,19405,938.761,1.88,1.96,12.95,2.02,0.046,22626,1
60810,1655128232,14.519,56.89,178,400,13284,20979,937.048,1.83,1.9,12.56,1.959,0.044,3924,0
62462,1655129884,-8.099,14.35,1477,400,13678,20295,936.684,0.92,0.96,6.33,0.988,0.022,5576,0
11344,1654744675,10.158,53.7,1057,632,12799,19466,939.115,2.12,2.21,14.62,2.28,0.051,11344,1
42518,1654778867,26.3,51.33,1103,400,12913,19463,938.759,1.53,1.59,10.56,1.646,0.037,17524,1
4668,1654737999,-6.506,53.23,63,400,13243,20153,939.667,2.17,2.26,14.97,2.334,0.053,4668,1
54763,1654715808,25.02,44.78,0,400,13271,21167,937.455,1.87,1.94,12.86,2.005,0.045,3621,0
43588,1654779937,24.49,53.61,1180,404,12912,19435,938.727,1.61,1.67,11.07,1.727,0.039,18594,1
51989,1654713034,26.47,46.21,98,417,12778,20651,937.575,1.87,1.94,12.86,2.005,0.045,847,0
57603,1655125025,10.101,43.71,101,469,12771,20664,937.534,2.28,2.36,15.67,2.443,0.055,717,0
873,1654734204,26.971,51.31,1,400,12993,19918,939.713,0.23,0.24,1.62,0.252,0.006,873,0
1225,1654734556,26.92,53.77,22,400,13059,19941,939.735,0.38,0.4,2.63,0.41,0.009,1225,0
55970,1654717015,44.53,27.35,6954,400,13166,19563,936.885,3.48,3.62,23.97,3.738,0.084,4828,0
62334,1655129756,-18.672,12.31,4817,400,13427,19703,936.734,0.66,0.68,4.52,0.704,0.016,5448,0
26516,1654762865,15.47,55.44,12,400,13111,20001,939.674,0.58,0.6,3.98,0.621,0.014,1522,0
1522,1654734853,25.857,55.44,12,400,13111,20001,939.674,0.58,0.6,3.98,0.621,0.014,1522,0
2620,1654735951,16.177,46.58,59,400,13212,20124,939.653,0.91,0.94,6.23,0.972,0.022,2620,0
59188,1655126610,-2.784,48.38,142,412,12792,20580,937.334,1.95,2.03,13.43,2.094,0.047,2302,0
4292,1654737623,-3.425,47.34,101,400,13230,20117,939.65,1.88,1.95,12.94,2.017,0.046,4292,1
17124,1654750455,14.686,47.46,1147,400,12900,19441,938.78,1.78,1.85,12.28,1.916,0.043,17124,1
54668,1654715713,28.48,38.9,0,400,13175,20999,937.467,2.01,2.09,13.83,2.156,0.049,3526,0
30007,1654766356,20.84,48.49,61,400,13230,20158,939.703,2.3,2.38,15.8,2.463,0.056,5013,1
53494,1654714539,25.85,48.05,172,433,12773,20544,937.337,1.68,1.75,11.6,1.808,0.041,2352,0
32594,1654768943,20.34,53.47,267,400,13126,19989,939.484,0.38,0.39,2.59,0.403,0.009,7600,1
37806,1654774155,25.53,47.6,1147,586,12819,19455,938.94,2.09,2.17,14.39,2.243,0.051,12812,1
52719,1654713764,25.91,47.64,96,402,12783,20622,937.445,1.97,2.04,13.53,2.11,0.048,1577,0
60785,1655128207,14.149,41.98,0,400,13482,21264,937.029,1.58,1.65,10.91,1.701,0.038,3899,0
28707,1654765056,20.19,54.06,264,400,13140,19955,939.674,1.27,1.32,8.75,1.365,0.031,3713,1
39471,1654775820,26.95,47.57,1130,468,12859,19443,938.916,2.21,2.29,15.19,2.369,0.054,14477,1
29376,1654765725,20.99,54.38,84,400,13241,20132,939.655,2.37,2.46,16.33,2.546,0.058,4382,1
18512,1654751843,20.07,48.03,1299,437,12900,19400,938.748,1.67,1.73,11.47,1.789,0.04,18512,1
3648,1654736979,3.579,56.58,344,400,13094,19862,939.693,1.4,1.46,9.65,1.504,0.034,3648,1
27990,1654764339,18.54,51.35,178,400,13147,20003,939.653,0.72,0.75,4.97,0.775,0.018,2996,0
27027,1654763376,18.4,46.85,73,400,13106,19984,939.647,0.92,0.95,6.31,0.984,0.022,2033,0
25466,1654761815,14.04,50.85,11,400,12766,19774,939.838,0.14,0.16,0.89,0.167,0.02,472,0
48095,1654784444,25.54,54.28,1277,400,12985,19409,938.746,1.92,2.0,13.24,2.064,0.047,23101,1
28686,1654765035,22.73,49.24,276,400,13133,19946,939.665,1.55,1.61,10.66,1.662,0.038,3692,1
9411,1654742742,-5.006,59.51,652,577,12849,19604,939.188,3.13,3.25,21.53,3.357,0.076,9411,1
467,1654733798,25.114,51.95,9,400,12768,19786,939.829,0.19,0.22,1.22,0.229,0.028,467,0
62474,1655129896,-6.677,14.87,1419,400,13685,20320,936.67,0.83,0.86,5.7,0.89,0.02,5588,0
62110,1655129532,-20.739,12.8,60000,14511,11136,16556,936.696,3581.69,4682.93,22235.05,4994.234,1020.322,5224,0
59141,1655126563,-3.85,42.34,118,400,12794,20610,937.314,1.96,2.03,13.46,2.098,0.047,2255,0
53558,1654714603,25.77,48.57,170,440,12768,20556,937.325,1.88,1.95,12.94,2.019,0.046,2416,0
38488,1654774837,24.55,53.1,1182,527,12846,19444,938.867,2.07,2.15,14.25,2.223,0.05,13494,1
14661,1654747992,14.509,47.35,1124,462,12864,19452,938.861,2.05,2.13,14.1,2.198,0.05,14661,1
53323,1654714368,25.7,48.31,150,409,12782,20574,937.352,1.65,1.72,11.38,1.775,0.04,2181,0
59023,1655126445,-5.145,42.11,111,400,12796,20608,937.339,1.82,1.89,12.49,1.948,0.044,2137,0
7122,1654740453,-4.972,55.35,246,400,13130,20019,939.552,0.42,0.43,2.86,0.447,0.01,7122,1
54954,1654715999,27.08,39.45,0,400,13449,21304,937.375,1.87,1.94,12.85,2.004,0.045,3812,0
53228,1654714273,28.82,41.47,119,400,12796,20615,937.339,1.86,1.94,12.83,2.001,0.045,2086,0
33867,1654770216,18.28,57.61,363,400,13067,19906,939.291,0.63,0.66,4.36,0.68,0.015,8873,1
58019,1655125441,-8.028,40.65,110,416,12770,20619,937.509,1.68,1.74,11.56,1.802,0.041,1133,0
28489,1654764838,22.19,54.25,302,400,13127,19912,939.671,1.32,1.37,9.05,1.412,0.032,3495,1
57255,1655124677,25.408,45.53,46,400,12836,20736,937.542,2.49,2.59,17.14,2.673,0.06,369,0
61819,1655129241,-4.752,28.29,60000,8971,11429,16726,936.876,2921.26,3035.09,20105.88,3135.273,70.814,4933,0
54083,1654715128,26.29,47.19,176,422,12771,20546,937.411,1.9,1.98,13.1,2.042,0.046,2941,0
43096,1654779445,24.8,52.53,1187,408,12902,19441,938.719,1.67,1.73,11.48,1.79,0.04,18102,1
53264,1654714309,25.71,48.24,133,400,12789,20589,937.322,1.91,1.99,13.17,2.054,0.046,2122,0
56750,1654717795,50.59,13.7,1184,400,13686,20375,936.679,0.74,0.77,5.1,0.795,0.018,5608,0
530,1654733861,25.549,51.01,0,400,12809,19813,939.838,0.19,0.19,1.28,0.2,0.005,530,0
58719,1655126141,-4.17,42.39,124,400,12790,20599,937.42,1.7,1.77,11.73,1.829,0.041,1833,0
12036,1654745367,17.048,50.44,1099,614,12812,19451,939.027,2.07,2.15,14.22,2.218,0.05,12036,1
47186,1654783535,24.44,53.78,1356,404,12959,19386,938.7,1.84,1.91,12.68,1.978,0.045,22192,1
431,1654733762,24.839,51.38,43,400,12714,19731,939.837,0.15,0.18,0.93,0.189,0.03,431,0
60946,1655128368,16.863,53.24,2808,400,13303,19906,936.952,0.68,0.7,4.66,0.727,0.016,4060,0
53162,1654714207,28.66,41.82,145,408,12788,20582,937.355,1.59,1.65,10.95,1.708,0.039,2020,0
16784,1654750115,13.576,52.75,1174,417,12886,19437,938.758,1.82,1.89,12.51,1.951,0.044,16784,1
7236,1654740567,-4.682,54.79,259,400,13125,20002,939.512,0.48,0.5,3.32,0.517,0.012,7236,1
7407,1654740738,-4.342,54.57,272,400,13120,19993,939.526,0.51,0.53,3.53,0.551,0.012,7407,1
58268,1655125690,-8.562,45.95,103,403,12781,20620,937.457,1.78,1.85,12.24,1.908,0.043,1382,0
35402,1654771751,25.41,50.74,952,684,12784,19511,939.088,1.99,2.06,13.67,2.131,0.048,10408,1
26080,1654762429,15.58,55.46,0,400,13062,19959,939.793,0.2,0.21,1.4,0.219,0.005,1086,0
47089,1654783438,26.75,48.4,1325,400,12965,19398,938.719,1.76,1.83,12.09,1.885,0.043,22095,1
47772,1654784121,24.87,51.97,1373,410,12965,19383,938.725,1.69,1.76,11.63,1.813,0.041,22778,1
45124,1654781473,27.06,47.59,1210,400,12946,19430,938.747,1.71,1.78,11.77,1.835,0.041,20130,1
473,1654733804,25.158,50.57,16,400,12764,19777,939.824,0.12,0.15,0.82,0.153,0.019,473,0
47427,1654783776,24.43,53.87,1329,400,12971,19392,938.718,1.59,1.65,10.95,1.708,0.039,22433,1
26555,1654762904,18.33,48.46,13,400,13119,20009,939.652,0.6,0.62,4.1,0.639,0.014,1561,0
52387,1654713432,29.01,40.93,78,400,12782,20654,937.484,2.47,2.57,17.0,2.652,0.06,1245,0
3500,1654736831,5.377,53.45,299,400,13121,19912,939.674,1.31,1.36,8.99,1.402,0.032,3500,1
60953,1655128375,16.994,52.06,2957,400,13320,19871,936.961,0.59,0.61,4.05,0.632,0.014,4067,0
1616,1654734947,25.35,48.83,0,400,13135,20041,939.593,0.55,0.57,3.75,0.585,0.013,1616,0
527,1654733858,25.53,51.57,18,400,12807,19804,939.847,0.21,0.22,1.46,0.228,0.005,527,0
28940,1654765289,20.25,51.84,153,400,13214,20059,939.664,2.4,2.5,16.55,2.58,0.058,3946,1
60189,1655127611,15.866,47.7,200,424,12765,20525,937.407,1.65,1.71,11.33,1.767,0.04,3303,0
31170,1654767519,19.22,55.52,172,400,13173,20097,939.677,0.85,0.88,5.82,0.908,0.021,6176,1
2214,1654735545,20.566,49.73,11,400,13191,20113,939.599,0.83,0.86,5.72,0.892,0.02,2214,0
62050,1655129472,-18.656,19.25,60000,10230,11362,16481,936.791,8302.23,16945.71,36236.68,18860.926,8277.391,5164,0
58577,1655125999,-4.424,47.32,119,421,12784,20612,937.371,1.94,2.02,13.36,2.083,0.047,1691,0
31179,1654767528,21.22,52.36,142,400,13188,20126,939.66,1.01,1.05,6.95,1.084,0.024,6185,1
28461,1654764810,20.1,59.07,306,400,13121,19903,939.701,1.18,1.23,8.15,1.27,0.029,3467,1
573,1654733904,25.815,55.23,2,400,12844,19827,939.83,0.37,0.41,2.53,0.422,0.026,573,0
8343,1654741674,-4.564,50.13,324,400,13110,19947,939.387,0.26,0.27,1.82,0.284,0.006,8343,1
58499,1655125921,-5.267,40.98,120,426,12769,20605,937.432,1.84,1.91,12.68,1.977,0.045,1613,0
40174,1654776523,24.45,53.53,1124,449,12868,19442,938.812,2.15,2.24,14.81,2.309,0.052,15180,1
58553,1655125975,-4.639,41.11,67,400,12791,20650,937.394,1.73,1.79,11.88,1.853,0.042,1667,0
22550,1654755881,-19.358,53.65,1304,400,12969,19404,938.751,1.76,1.83,12.11,1.888,0.043,22550,1
54257,1654715302,26.87,44.21,221,459,12755,20490,937.365,1.45,1.51,9.98,1.556,0.035,3115,0
42328,1654778677,24.51,53.57,1187,408,12899,19428,938.762,1.86,1.93,12.77,1.991,0.045,17334,1
57315,1655124737,23.644,45.64,59,400,12828,20716,937.515,1.75,1.82,12.03,1.877,0.042,429,0
58396,1655125818,-6.783,47.12,94,406,12785,20624,937.415,1.77,1.84,12.18,1.899,0.043,1510,0
47331,1654783680,26.83,48.2,1350,411,12965,19382,938.711,2.04,2.12,14.06,2.192,0.05,22337,1
23966,1654757297,-14.796,47.91,1364,400,12981,19379,938.725,1.88,1.95,12.93,2.017,0.046,23966,1
60625,1655128047,12.404,44.86,0,400,13423,21241,937.388,2.17,2.25,14.92,2.327,0.053,3739,0
1039,1654734370,27.123,52.48,0,400,13054,19956,939.753,0.29,0.31,2.02,0.315,0.007,1039,0
39747,1654776096,24.57,53.18,1141,456,12858,19446,938.854,2.06,2.14,14.18,2.211,0.05,14753,1
26193,1654762542,16.64,50.69,17,400,13070,19943,939.753,0.5,0.51,3.41,0.532,0.012,1199,0
51283,1654712328,26.77,45.24,50,431,12845,20738,937.562,2.19,2.28,15.07,2.351,0.053,141,0
55649,1654716694,51.32,21.97,27642,671,12677,18831,936.935,0.93,0.97,6.4,0.998,0.023,4507,0
20944,1654754275,3.93,51.4,1350,404,12952,19383,938.691,2.04,2.12,14.04,2.189,0.049,20944,1
57982,1655125404,-7.164,47.19,110,400,12777,20626,937.511,2.37,2.46,16.3,2.542,0.057,1096,0
43808,1654780157,25.24,49.79,1251,419,12909,19418,938.698,1.57,1.63,10.82,1.688,0.038,18814,1
47915,1654784264,25.53,54.25,1297,400,12982,19404,938.752,1.63,1.7,11.25,1.754,0.04,22921,1
9492,1654742823,-4.861,63.83,663,721,12774,19595,939.158,2.37,2.46,16.32,2.545,0.057,9492,1
54501,1654715546,26.46,46.7,222,445,12756,20500,937.423,1.75,1.82,12.03,1.876,0.042,3359,0
26503,1654762852,15.85,52.75,21,400,13100,20004,939.678,0.41,0.42,2.81,0.438,0.01,1509,0
55004,1654716049,24.38,46.7,97,400,13198,21059,937.047,2.0,2.08,13.76,2.146,0.048,3862,0
42204,1654778553,24.57,53.27,1182,410,12896,19437,938.783,1.53,1.59,10.55,1.644,0.037,17210,1
29580,1654765929,22.4,47.66,32,400,13255,20185,939.658,2.26,2.35,15.59,2.431,0.055,4586,1
26984,1654763333,16.88,52.92,71,400,13112,19973,939.619,0.66,0.68,4.53,0.706,0.016,1990,0
45319,1654781668,24.59,53.0,1264,400,12951,19412,938.759,1.95,2.03,13.43,2.094,0.047,20325,1
55815,1654716860,48.42,14.78,571,400,13369,20575,936.832,0.85,0.89,5.87,0.916,0.021,4673,0
61910,1655129332,-11.013,22.59,60000,11131,11316,16391,936.85,6887.68,8959.53,42873.78,9549.188,1917.59,5024,0
55813,1654716858,50.74,14.2,616,400,13358,20531,936.822,0.89,0.93,6.14,0.958,0.022,4671,0
25349,1654761698,13.84,50.74,12,400,12700,19741,939.823,0.08,0.11,0.51,0.12,0.027,355,0
53272,1654714317,28.25,43.21,118,400,12788,20595,937.286,2.03,2.11,13.96,2.177,0.049,2130,0
14491,1654747822,15.297,46.88,1241,504,12839,19422,938.915,2.15,2.23,14.77,2.303,0.052,14491,1
59252,1655126674,-0.761,45.77,191,442,12773,20530,937.327,1.87,1.94,12.84,2.003,0.045,2366,0
53569,1654714614,28.01,45.05,149,415,12778,20571,937.331,1.88,1.96,12.95,2.02,0.046,2427,0
33024,1654769373,18.3,56.53,306,400,13105,19951,939.399,0.35,0.36,2.38,0.371,0.008,8030,1
49933,1654786282,24.75,52.52,1327,419,12991,19400,938.85,1.93,2.01,13.3,2.074,0.047,24939,1
56691,1654717736,52.94,12.72,1977,400,13612,20173,936.69,0.78,0.81,5.39,0.84,0.019,5549,0
26660,1654763009,18.4,49.73,0,400,13142,20054,939.593,0.84,0.88,5.81,0.906,0.02,1666,0
52827,1654713872,26.18,46.71,113,417,12778,20610,937.385,1.91,1.99,13.17,2.053,0.046,1685,0
48371,1654784720,24.9,51.71,1383,413,12971,19390,938.71,1.87,1.95,12.9,2.011,0.045,23377,1
35713,1654772062,26.16,48.61,986,670,12788,19479,939.072,2.17,2.26,14.94,2.33,0.053,10719,1
22074,1654755405,-14.0,53.89,1352,409,12963,19392,938.713,1.59,1.66,10.97,1.711,0.039,22074,1
